item_id,item_name,item_type,nutrition_flag
0000003552,Dreamies z nutą kocimiętki 60 g,dla-zwierzat,N
0000003551,Dreamies z serem karma dla kota 60g,dla-zwierzat,N
0000007546,GOURMET A LA CARTE (4x85g) 4 smaki 340g,dla-zwierzat,N
0000007556,Gourmet™ Gold Mus z tuńczykiem 85 g,dla-zwierzat,N
0000003550,Dreamies z łososiem karma dla kota 60g,dla-zwierzat,N
0000002212,Activ Pet Pasztet z jagnięciną i kurczakiem 300g,dla-zwierzat,N
0000012496,Pedigree Adult Sucha karma dla psów z wołowiną i warzywami 7 kg,dla-zwierzat,N
0000007048,Maxi Natural Karma dla psa kaczka i wołowina z jabłkiem 800g,dla-zwierzat,N
0000007547,Gourmet Perle Duet Mięsny karma dla kota 4x85g,dla-zwierzat,N
0000009476,Whiskas W galaretce z kaczką 400 g,dla-zwierzat,N
0000003775,"Activ Pet dla psów dorosłych z jagnięciną, marchewką i ryżem brązowym 400g",dla-zwierzat,N
0000003549,Dreamies Karma uzupełniająca z pysznym kurczakiem 60 g,dla-zwierzat,N
0000005790,Pedigree Mokra karma dla dorosłych psów mix smaków w galaretce (6 x 100 g) 600 g,dla-zwierzat,N
0000007548,"Gourmet Perle indyk, kaczka, tuńczyk, jagnięcina karma dla kota 4x85g",dla-zwierzat,N
0000009399,Maxi Natural Karma dla kota kurczak z indykiem 400g,dla-zwierzat,N
0000008333,Purina ADVENTUROS STRIPS Dziki smak sarniny 90g,dla-zwierzat,N
0000003773,Activ Pet Dla psów dorosłych z sercami z kurczaka i ryżem brązowym 400g,dla-zwierzat,N
0000004117,"Felix Party Mix Ocean o smaku łososia, dorsza czarnego i pstrąga 60g",dla-zwierzat,N
0000012500,Sheba Finesse Mokra karma dla dorosłych kotów delikatny pasztet z kurczakiem 85 g,dla-zwierzat,N
0000007953,Sheba Tacka Selection W sosie z kawałkami cielęciny 85 g,dla-zwierzat,N
0000007047,Maxi Natural Karma dla psa jagnięcina i wołowina z burakiem 800g,dla-zwierzat,N
0000009744,Whiskas Mokra karma dla kotów rybne przysmaki galaretka (8 x 85 g) 680 g,dla-zwierzat,N
0000007568,PEDIGREE® RANCHOS Originals Bogaty w kurczaka 70 g,dla-zwierzat,N
0000006535,Maxi Natural Karma dla psa jeleń i wołowina z żurawiną 400g,dla-zwierzat,N
0000006537,Maxi Natural Karma dla psa indyk i wołowina z batatami 400g,dla-zwierzat,N
0000009398,Maxi Natural Karma dla kota wołowina z jagnięciną 400g,dla-zwierzat,N
0000007494,Puffi Karma pełnoporcjowa dla dorosłych psów z wołowiną 415g,dla-zwierzat,N
0000009475,Whiskas Mokra karma dla dorosłych kotów z kurczakiem w sosie 400 g,dla-zwierzat,N
0000009390,Kitty Karma bogata w indyka z kawałkami w sosie 415g,dla-zwierzat,N
0000003774,Activ Pet Dla psów dorosłych z dziczyzną i dynią 400g,dla-zwierzat,N
0000009192,Pedigree Markies 150g,dla-zwierzat,N
0000000704,Kitty Karma pełnoporcjowa dla dorosłych kotów po sterylizacji z wołowiną 415g,dla-zwierzat,N
