item_id,item_name,item_link,item_image,item_type
0000010412,Pomidor czerwony luz,https://zakupy.biedronka.pl/biedronka-pomidor-czerwony-luz-0000010412.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw3a4a4f93/images/hi-res/125569.jpg?sw=270&sh=270&sm=fit,warzywa
0000011785,Ziemniaki jadalne polskie kg,https://zakupy.biedronka.pl/biedronka-ziemniaki-jadalne-polskie-kg-0000011785.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa031ea63/images/hi-res/82CA889560F839E9E88B9341E4E8AF80.jpg?sw=270&sh=270&sm=fit,warzywa
0000010416,Cebula żółta kg,https://zakupy.biedronka.pl/biedronka-cebula-zolta-kg-0000010416.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw5d447307/images/hi-res/576716F9D9945A005AEA99EE9F166218.jpg?sw=270&sh=270&sm=fit,warzywa
0000010329,"Cebula czerwona, opak. 500 g",https://zakupy.biedronka.pl/biedronka-cebula-czerwona-opak.-500-g-0000010329.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw587d70c1/images/hi-res/7356C493B5E4D4D7BD68887D369F274C.jpg?sw=270&sh=270&sm=fit,warzywa
0000011622,Dynia kulinarna kg,https://zakupy.biedronka.pl/biedronka-dynia-kulinarna-kg-0000011622.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2e99adb4/images/hi-res/D91BF32716C7FB09906B745A5B16C215.jpg?sw=270&sh=270&sm=fit,warzywa
0000010303,Ziemniak myty jadalny 2 kg,https://zakupy.biedronka.pl/biedronka-ziemniak-myty-jadalny-2-kg-0000010303.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw871156e0/images/hi-res/C810AA40311CB25D7C906E026BD7EE7C.jpg?sw=270&sh=270&sm=fit,warzywa
0000010418,Cukinia kg,https://zakupy.biedronka.pl/biedronka-cukinia-kg-0000010418.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw55501c86/images/hi-res/97F24DAA76BF90CDDEF18CB880B12744.jpg?sw=270&sh=270&sm=fit,warzywa
0000010409,"Włoszczyzna, opak. 650 g",https://zakupy.biedronka.pl/biedronka-wloszczyzna-opak.-650-g-0000010409.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe9ca1da8/images/hi-res/E520339FED0AC7685DC06326DE946C34.jpg?sw=270&sh=270&sm=fit,warzywa
0000010059,Cebula żółta opakowanie 1 kg,https://zakupy.biedronka.pl/biedronka-cebula-zolta-opakowanie-1-kg-0000010059.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwb872707a/images/hi-res/D4F4A9FBF40788D8538F1DEC2E58A8F3.jpg?sw=270&sh=270&sm=fit,warzywa
0000010371,Pieczarka opakowanie 500g,https://zakupy.biedronka.pl/biedronka-pieczarka-opakowanie-500g-0000010371.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwea5c30ad/images/hi-res/729246D654C6C4E0637FFAA7770C883F.jpg?sw=270&sh=270&sm=fit,warzywa
