item_id,item_name,item_link,item_image,item_type
0000000059,"Mleczna Dolina Mleko UHT częściowo odtłuszczone zawartość tłuszczu 1,5 % 1 L",https://zakupy.biedronka.pl/mleczna-dolina-mleczna-dolina-mleko-uht-czesciowo-odtluszczone-zawartosc-tluszczu-15-%25-1-l-0000000059.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf8f89ba0/images/hi-res/A70133CA6BFDFA8C0B7F5A0A857944B3.jpg?sw=270&sh=270&sm=fit,nabial
0000004370,Mlekovita Masło Polskie ekstra 82% tł. 200 g,https://zakupy.biedronka.pl/mlekovita-mlekovita-maslo-polskie-ekstra-82%25-tl.-200-g-0000004370.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw60421909/images/hi-res/FB1A66E7DA4CCAA0EBB65DAC1B50098A.jpg?sw=270&sh=270&sm=fit,nabial
0000004246,Rolmlecz  Serek homogenizowany waniliowy 200 g,https://zakupy.biedronka.pl/rolmlecz-rolmlecz--serek-homogenizowany-waniliowy-200-g-0000004246.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw5e67dc88/images/hi-res/681F3768C6E6621BE1C9EA1F4FC1ACA1.jpg?sw=270&sh=270&sm=fit,nabial
0000002150,Mleczna Dolina Mleko świeże 2% 1 l,https://zakupy.biedronka.pl/mleczna-dolina-mleczna-dolina-mleko-swieze-2%25-1-l-0000002150.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7be8b568/images/hi-res/537CDD8C5CCDB0210EA5975582F93B52.jpg?sw=270&sh=270&sm=fit,nabial
0000000058,"Mleczna Dolina mleko UHT zawartość tłuszczu 3,2 % 1 L",https://zakupy.biedronka.pl/mleczna-dolina-mleczna-dolina-mleko-uht-zawartosc-tluszczu-32-%25-1-l-0000000058.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw290b99c4/images/hi-res/7F35F53FB12CF9826D527F9A2F4617B7.jpg?sw=270&sh=270&sm=fit,nabial
0000001306,Fantasia Jogurt kremowy z kulkami w czekoladzie 100 g,https://zakupy.biedronka.pl/fantasia-fantasia-jogurt-kremowy-z-kulkami-w-czekoladzie-100-g-0000001306.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw7fc70a2d/images/hi-res/6034B169C38CF8790AE9BA93C8CACDAF.jpg?sw=270&sh=270&sm=fit,nabial
0000004338,Moja Kurka Jaja ściółkowe L 10 szt.,https://zakupy.biedronka.pl/moja-kurka-moja-kurka-jaja-sciolkowe-l-10-szt.-0000004338.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwc53f0ea0/images/hi-res/EDA75B1A6BC8D2E7C70CD913EAD2C493.jpg?sw=270&sh=270&sm=fit,nabial
0000004506,Almette Puszysty serek twarogowy jogurtowy 150 g,https://zakupy.biedronka.pl/almette-almette-puszysty-serek-twarogowy-jogurtowy-150-g-0000004506.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw08fa0e5a/images/hi-res/731814B8851FD1F9182B80B8AE5670CA.jpg?sw=270&sh=270&sm=fit,nabial
0000005537,Zott Primo Śmietanka 30 % 200 g,https://zakupy.biedronka.pl/zott-primo-zott-primo-smietanka-30-%25-200-g-0000005537.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1eea1950/images/hi-res/77505FF54FD091983F506DAEEDE13A52.jpg?sw=270&sh=270&sm=fit,nabial
0000001305,Fantasia Jogurt kremowy z płatkami w czekoladzie 102 g,https://zakupy.biedronka.pl/fantasia-fantasia-jogurt-kremowy-z-platkami-w-czekoladzie-102-g-0000001305.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw06494286/images/hi-res/EC21D542B32DE7A05FA560A6A68E6BC4.jpg?sw=270&sh=270&sm=fit,nabial
